,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
DTR,20,4,4.559577557,4,6,3.956175253,1,2,2.336756877,7,5,1.371322933,10,4,0.739097413,3,5,2.496782499,3,3,3.357494871,14,5,4.473903437,1,2,0.329041123,16,3,1.541922626,18,5,3.404289859,18,3,1.406477093,9,1,1.905515941,9,5,0.310611765,20,3,0.662217696
DTR,3,3,0.176473157,12,5,3.445677362,8,2,0.749520051,10,3,0.557882256,15,4,1.685266683,6,0,0.429509109,16,5,3.761267596,17,2,3.04111707,11,3,3.071641649,17,5,4.848227491,19,5,2.86316381,1,1,2.173335674,18,3,3.308922465,4,4,4.779192188,7,1,2.126936256
DTR,1,0,1.923333202,19,6,4.595726036,14,1,2.223100024,3,6,0.80945664,3,5,0.727987387,7,2,1.22945462,5,2,3.580941847,5,3,3.74695311,5,6,2.42572471,4,2,4.562132122,4,1,3.889859621,1,1,1.630275807,8,5,3.738296619,4,3,4.559988438,5,5,4.346658388
DTR,15,4,2.706173099,14,6,3.990935739,14,1,3.807183446,20,6,1.736360787,20,6,1.522747634,20,1,2.335440079,5,4,3.289911085,7,4,2.282094564,2,5,1.995104138,9,3,3.410180397,19,6,3.136054608,17,6,2.48410053,9,1,0.984501313,10,0,1.917293164,6,5,3.282148384
DTR,7,4,0.25387311,2,4,3.977424081,6,6,2.527430068,4,6,1.949079442,9,5,1.286257977,9,5,2.067657291,9,6,0.655958193,6,3,3.506669834,16,1,1.090535752,11,2,2.14087475,18,5,1.087501019,10,4,3.155951852,4,4,0.752349721,11,2,1.357362785,11,4,4.24998216
DTR,17,2,3.918970039,11,0,1.583483408,1,0,4.615648554,9,6,0.641239777,9,6,2.502805369,1,0,4.180478161,20,5,4.802584655,16,2,4.349212395,12,4,1.759481849,11,6,0.620921519,1,0,1.630444496,14,2,1.27228526,20,4,2.213865543,9,5,3.859210854,8,1,4.23193164
DTR,3,6,2.614394131,7,1,3.361542788,6,2,1.144477584,3,5,1.612009879,20,3,2.58921913,6,2,1.54018659,9,2,4.311591735,6,3,4.949902924,8,2,1.906967363,17,4,3.197951225,18,2,0.899995026,3,5,2.232523567,9,0,2.219887099,14,3,4.735190835,14,5,3.001886178
DTR,6,5,3.671527817,3,6,1.579666882,5,2,0.942102961,13,4,1.540880875,12,6,4.320646182,12,1,0.985129107,19,4,3.724625341,14,6,4.422213258,13,4,1.431472243,8,5,2.767097325,16,6,1.734862665,7,2,4.00393484,9,4,3.640875465,1,3,2.180727489,20,2,0.914241453
DTR,4,6,4.250083259,1,4,2.592490876,9,0,1.410434196,6,0,3.652214109,16,6,2.730529772,15,0,0.558343025,16,4,1.631427121,4,6,0.766306924,18,3,0.770833961,10,4,1.53773528,6,4,1.999621827,20,4,1.774752018,12,5,2.152448839,16,4,0.490900222,10,4,4.396036306
DTR,20,6,4.339281624,17,6,2.867729261,19,2,1.031145465,2,5,3.676374877,6,4,2.479896027,5,2,3.190748889,20,5,2.797610563,9,6,1.367361223,6,6,3.632143996,11,0,2.741215443,14,4,4.960660984,12,5,1.73449063,18,3,2.279238122,14,6,3.502621176,10,0,2.678843168
